"Nom","Nationalite","Club","Position","Evaluation","Taille_en_cm","Poids_en_kg","Pied_Fort","Age","Pied_Faible","Dribbles","Defense","Attaque","Interception","Vision_du_Jeu","Centre","Passe","Rapidite","Endurance","Force","Equilibre","Agilite","Tete","Frappe","Competence_Gardien"
"PHILIPP LAHM","GERMANY","FC BAYERN","DEFENSEUR DROIT",88,170,66,"DROIT",33,"3",84,89,61,93,82,84,81,67,79,59,93,82,63,61,9
"PEPE","PORTUGAL","REAL MADRID","DEFENSEUR CENTRE",88,188,81,"DROIT",34,"3",60,88,47,88,48,46,65,70,64,84,49,63,82,59,9
"PETR CECH","CZECH REPUBLIC","ARSENAL","GARDIEN",88,196,90,"GAUCHE",34,"3",17,12,16,23,53,19,34,46,32,65,34,49,19,16,84
"GIANLUIGI BUFFON","ITALY","JUVENTUS","GARDIEN",88,192,91,"DROIT",39,"2",27,10,16,28,50,13,36,46,39,69,49,55,13,26,83
"INIESTA","SPAIN","FC BARCELONA","MILIEUX GAUCHE",88,171,68,"DROIT",32,"4",91,56,76,68,94,79,89,73,64,59,86,82,54,69,9
"JAN OBLAK","SLOVENIA","ATLETICO MADRID","GARDIEN",87,189,87,"DROIT",24,"3",14,14,11,19,55,13,27,51,41,78,49,67,15,17,83
"JAMES RODRIGUEZ","COLOMBIA","REAL MADRID","MILIEUX OFFENSIF",87,180,75,"GAUCHE",25,"3",84,32,81,55,86,88,82,76,68,70,73,82,62,88,12
"PIERRE-EMERICK AUBAMEYANG","GABON","BOR. DORTMUND","ATTAQUANT",87,187,80,"DROIT",27,"4",82,29,86,48,77,77,70,95,79,77,69,80,79,80,9
"LEONARDO BONUCCI","ITALY","JUVENTUS","DEFENSEUR CENTRE",87,190,85,"DROIT",29,"3",71,86,48,90,74,44,79,70,73,85,55,61,84,69,2
"ARTURO VIDAL","CHILE","FC BAYERN","MILIEUX DEFENSIF",87,180,75,"DROIT",29,"4",79,83,80,89,80,76,83,75,93,79,77,75,81,84,3
"IVAN RAKITIC","CROATIA","FC BARCELONA","MILIEUX OFFENSIF",87,184,78,"DROIT",29,"3",85,56,80,69,87,81,89,66,76,63,66,71,58,86,10
"DAVID SILVA","SPAIN","MANCHESTER CITY","MILIEUX CENTRAL",87,173,67,"GAUCHE",31,"2",87,31,76,41,92,85,84,68,68,56,88,92,54,72,1
"SAMIR HANDANOVIC","SLOVENIA","INTER","GARDIEN",87,193,89,"DROIT",32,"2",21,13,15,22,41,12,35,55,41,71,36,42,10,20,83
"PIQUE","SPAIN","FC BARCELONA","DEFENSEUR CENTRE",87,193,85,"DROIT",30,"3",68,86,63,88,62,57,80,64,69,83,44,58,83,56,11
"ARJEN ROBBEN","NETHERLANDS","FC BAYERN","MILIEUX DROIT",87,180,80,"GAUCHE",33,"2",90,27,83,39,83,80,77,86,68,65,91,89,51,87,9
"PAULO DYBALA","ARGENTINA","JUVENTUS","MILIEUX OFFENSIF",86,177,74,"GAUCHE",23,"3",91,18,85,24,82,78,75,88,81,65,85,91,68,85,5
"MARCO VERRATTI","ITALY","PSG","MILIEUX CENTRAL",86,165,60,"DROIT",24,"4",87,79,62,83,86,72,88,68,77,56,94,87,55,62,12
"DAVID ALABA","AUSTRIA","FC BAYERN","DEFENSEUR GAUCHE",86,180,76,"GAUCHE",24,"4",81,82,73,85,78,82,81,86,87,69,77,82,75,83,10
"HENRIKH MKHITARYAN","ARMENIA","MANCHESTER UTD","AILIER",86,177,75,"DROIT",28,"5",88,52,77,68,85,80,79,85,85,63,83,88,53,81,8
"BERND LENO","GERMANY","BAYER 04","GARDIEN",86,190,83,"DROIT",25,"4",19,13,13,22,53,9,35,49,43,68,44,52,13,18,83
"THOMAS MULLER","GERMANY","FC BAYERN","MILIEUX OFFENSIF",86,186,75,"DROIT",27,"4",78,38,80,58,81,74,74,77,90,67,72,77,82,78,10
"SERGIO BUSQUETS","SPAIN","FC BARCELONA","MILIEUX DEFENSIF",86,189,76,"DROIT",28,"3",77,82,65,86,84,62,83,43,88,77,55,58,68,57,9
"THIAGO","SPAIN","FC BAYERN","MILIEUX DEFENSIF",86,174,70,"DROIT",25,"3",90,58,75,74,85,72,88,72,74,59,85,90,58,78,9
"JORDI ALBA","SPAIN","FC BARCELONA","DEFENSEUR CENTRE",86,170,68,"GAUCHE",28,"3",82,82,69,83,68,83,74,93,90,66,86,90,63,65,12
"COUTINHO","BRAZIL","LIVERPOOL","AILIER",86,171,68,"DROIT",24,"4",88,36,73,30,87,77,81,83,79,61,91,91,47,82,9
"ANGEL DI MARIA","ARGENTINA","PSG","AILIER",86,180,75,"GAUCHE",29,"2",87,50,76,38,85,88,82,86,78,64,79,90,53,83,10
"DIEGO COSTA","SPAIN","CHELSEA","ATTAQUANT",86,188,85,"DROIT",28,"4",81,33,84,40,74,65,59,77,85,91,52,58,82,78,11
"EDINSON CAVANI","URUGUAY","PSG","ATTAQUANT",86,184,71,"DROIT",30,"3",80,32,86,48,77,70,62,77,90,74,59,82,88,81,10
"RADJA NAINGGOLAN","BELGIUM","ROMA","MILIEUX GAUCHE",86,176,65,"DROIT",28,"3",82,83,75,86,76,73,82,79,94,78,84,81,59,85,11
"MARCELO","BRAZIL","REAL MADRID","DEFENSEUR GAUCHE",86,174,75,"GAUCHE",28,"4",85,83,67,83,75,87,78,78,82,77,82,77,70,74,7
"CLAUDIO MARCHISIO","ITALY","JUVENTUS","MILIEUX CENTRAL",86,180,75,"DROIT",31,"4",84,76,75,82,84,76,86,79,83,71,79,81,68,82,3
"MIRANDA","BRAZIL","INTER","DEFENSEUR CENTRE",86,186,78,"DROIT",32,"3",64,89,45,88,53,48,65,72,65,81,58,62,84,55,10
"KARIM BENZEMA","FRANCE","REAL MADRID","ATTAQUANT",86,187,79,"DROIT",29,"4",84,13,85,22,85,75,66,80,74,78,60,77,78,80,8
"CESC FABREGAS","SPAIN","CHELSEA","MILIEUX CENTRAL",86,175,74,"DROIT",29,"3",83,61,78,50,91,85,90,63,80,64,77,65,74,76,10
"FRANCK RIBERY","FRANCE","FC BAYERN","AILIER",86,170,72,"DROIT",33,"4",90,21,78,36,86,81,80,82,64,60,91,88,41,74,9
"SANTI CAZORLA","SPAIN","ARSENAL","MILIEUX CENTRAL",86,168,66,"DROIT",32,"5",86,58,79,64,85,85,85,70,72,59,91,85,58,80,8
"ANDREA BARZAGLI","ITALY","JUVENTUS","DEFENSEUR CENTRE",86,187,88,"DROIT",35,"3",62,90,38,92,58,40,65,74,69,87,65,59,76,46,3
"HARRY KANE","ENGLAND","SPURS","ATTAQUANT",85,188,86,"DROIT",23,"3",79,38,85,35,72,70,71,73,84,84,62,74,83,83,10
"ALEXANDRE LACAZETTE","FRANCE","OLYM. LYONNAIS","ATTAQUANT",85,175,73,"DROIT",25,"4",84,31,86,40,77,70,74,85,80,79,84,87,76,77,7
"KEYLOR NAVAS","COSTA RICA","REAL MADRID","GARDIEN",85,185,78,"DROIT",30,"3",17,13,18,20,54,11,33,53,39,75,61,60,11,17,81
"ROMELU LUKAKU","BELGIUM","EVERTON","ATTAQUANT",85,190,94,"GAUCHE",23,"4",77,29,84,27,70,68,69,85,80,93,48,62,83,82,10
"CHRISTIAN ERIKSEN","DENMARK","SPURS","MILIEUX OFFENSIF",85,180,76,"DROIT",25,"5",85,38,74,45,88,84,85,76,88,52,81,77,52,79,8
"ILKAY GUNDOGAN","GERMANY","MANCHESTER CITY","MILIEUX CENTRAL",85,180,80,"DROIT",26,"4",87,61,74,79,87,74,86,75,73,74,83,85,49,75,9
"TOBY ALDERWEIRELD","BELGIUM","SPURS","DEFENSEUR CENTRE",85,187,91,"DROIT",28,"3",65,85,53,86,64,64,79,66,75,81,49,60,83,76,13
"WILLIAN","BRAZIL","CHELSEA","MILIEUX OFFENSIF",85,175,75,"DROIT",28,"4",86,52,71,55,83,75,79,89,86,61,82,87,29,75,11
"MIRALEM PJANIC","BOSNIA HERZEGOVINA","JUVENTUS","MILIEUX DEFENSIF",85,180,72,"DROIT",26,"4",87,62,75,68,88,80,87,75,79,65,79,79,60,81,8
"JUAN MATA","SPAIN","MANCHESTER UTD","MILIEUX CENTRAL",85,170,63,"GAUCHE",28,"3",85,24,81,39,87,83,81,69,74,43,89,89,63,72,9
"JAVI MARTINEZ","SPAIN","FC BAYERN","DEFENSEUR CENTRE",85,190,81,"DROIT",28,"3",66,85,54,85,74,60,76,51,62,84,58,54,86,69,9
"DIMITRI PAYET","FRANCE","OLYM. MARSEILLE","AILIER",85,175,77,"DROIT",30,"4",89,34,77,37,87,86,85,77,73,76,81,80,59,80,12
"DRIES MERTENS","BELGIUM","NAPOLI","ATTAQUANT",85,169,61,"DROIT",29,"4",88,36,78,36,81,77,77,90,76,42,92,94,35,80,7
"SOKRATIS","GREECE","BOR. DORTMUND","DEFENSEUR CENTRE",85,186,85,"DROIT",28,"3",58,87,44,80,52,47,64,78,74,86,67,63,84,61,7
"MAREK HAMSIK","SLOVAKIA","NAPOLI","MILIEUX CENTRAL",85,183,79,"DROIT",29,"4",84,64,77,70,86,78,84,76,83,69,63,76,74,80,9
"BLAISE MATUIDI","FRANCE","PSG","MILIEUX CENTRAL",85,175,70,"GAUCHE",29,"2",75,83,63,85,75,75,81,79,94,78,79,77,73,70,9
"STEPHANE RUFFIER","FRANCE","AS SAINT-ETIENNE","GARDIEN",85,188,93,"DROIT",30,"3",13,11,16,25,49,11,33,47,37,76,55,51,12,16,83
"LAURENT KOSCIELNY","FRANCE","ARSENAL","DEFENSEUR CENTRE",85,186,75,"DROIT",31,"3",64,85,38,86,56,54,72,79,77,76,62,70,84,50,10
"FILIPE LUIS","BRAZIL","ATLETICO MADRID","DEFENSEUR GAUCHE",85,182,77,"GAUCHE",31,"3",79,84,65,82,70,84,77,80,91,74,60,74,68,65,9
"VINCENT KOMPANY","BELGIUM","MANCHESTER CITY","DEFENSEUR CENTRE",85,193,85,"DROIT",30,"3",64,86,49,77,59,61,65,68,68,87,42,60,84,65,7
"AYMERIC LAPORTE","FRANCE","ATHLETIC BILBAO","DEFENSEUR CENTRE",84,189,85,"GAUCHE",22,"2",63,86,44,85,52,58,75,69,73,84,55,49,85,58,9
"YANNICK CARRASCO","BELGIUM","ATLETICO MADRID","MILIEUX GAUCHE",84,180,66,"DROIT",23,"4",87,28,78,18,74,80,74,88,74,59,71,91,53,79,9
"CARVAJAL","SPAIN","REAL MADRID","DEFENSEUR DROIT",84,173,73,"DROIT",25,"3",79,85,49,82,57,83,76,81,84,75,79,82,65,50,13
"RIYAD MAHREZ","ALGERIA","LEICESTER CITY","MILIEUX DROIT",84,179,62,"GAUCHE",26,"4",89,24,76,38,79,80,78,82,77,57,82,92,45,74,10
"RAPHAEL VARANE","FRANCE","REAL MADRID","DEFENSEUR CENTRE",84,191,78,"DROIT",23,"3",66,85,42,82,56,36,73,81,70,84,47,58,83,52,10
"MAURO ICARDI","ARGENTINA","INTER","ATTAQUANT",84,181,75,"DROIT",24,"4",77,19,85,22,64,46,63,79,72,76,76,75,84,75,8
"LORENZO INSIGNE","ITALY","NAPOLI","AILIER",84,163,59,"DROIT",25,"3",89,20,71,26,85,82,76,90,77,44,93,96,56,73,9
"ISCO","SPAIN","REAL MADRID","MILIEUX CENTRAL",84,176,74,"DROIT",24,"3",89,46,79,65,84,72,83,72,71,59,82,83,55,76,10
"KOKE","SPAIN","ATLETICO MADRID","MILIEUX DROIT",84,178,74,"DROIT",25,"4",83,60,70,64,89,84,85,71,82,75,78,77,61,82,10
"KOSTAS MANOLAS","GREECE","ROMA","DEFENSEUR CENTRE",84,189,83,"DROIT",25,"2",59,87,20,85,22,27,60,79,79,84,60,69,80,27,9
"DANIJEL SUBASIC","CROATIA","AS MONACO","GARDIEN",84,191,84,"DROIT",32,"2",15,14,16,20,52,11,25,52,32,80,37,42,13,19,81
"NICOLAS OTAMENDI","ARGENTINA","MANCHESTER CITY","DEFENSEUR CENTRE",84,183,81,"DROIT",29,"3",52,82,48,82,45,52,68,71,78,81,62,71,85,62,9
"SHKODRAN MUSTAFI","GERMANY","ARSENAL","DEFENSEUR CENTRE",84,184,82,"DROIT",24,"3",61,83,54,85,55,51,73,70,74,81,69,66,81,59,10
"NEMANJA MATIC","SERBIA","CHELSEA","MILIEUX CENTRAL",84,194,84,"GAUCHE",28,"3",75,78,67,86,77,68,81,67,90,90,53,57,77,76,11
"ALEX SANDRO","BRAZIL","JUVENTUS","DEFENSEUR GAUCHE",84,181,76,"GAUCHE",26,"3",81,80,62,82,70,86,74,86,93,79,79,79,72,75,8
"KAMIL GLIK","POLAND","AS MONACO","DEFENSEUR CENTRE",84,190,80,"DROIT",29,"2",55,84,24,87,23,29,59,59,69,88,55,33,84,38,9
"DOUGLAS COSTA","BRAZIL","FC BAYERN","MILIEUX GAUCHE",84,170,65,"GAUCHE",26,"3",85,47,75,43,80,79,76,92,77,62,90,91,58,86,10
"KEVIN STROOTMAN","NETHERLANDS","ROMA","MILIEUX CENTRAL",84,186,78,"GAUCHE",27,"3",80,76,74,84,84,74,84,67,79,84,68,66,68,81,8
"NICOLAS GAITAN","ARGENTINA","ATLETICO MADRID","AILIER",84,173,68,"GAUCHE",29,"2",85,38,74,40,82,83,80,82,71,50,81,87,54,73,8
"BRUNO","SPAIN","VILLARREAL CF","MILIEUX CENTRAL",84,184,73,"GAUCHE",32,"3",79,79,70,85,83,60,86,52,76,77,59,53,61,82,10
"IVAN PERISIC","CROATIA","INTER","AILIER",84,186,81,"DROIT",28,"5",83,38,79,42,78,84,77,85,86,77,67,78,78,81,7
"DAVID LUIZ","BRAZIL","CHELSEA","DEFENSEUR CENTRE",84,189,84,"DROIT",29,"3",72,83,61,82,69,68,78,72,77,77,56,74,82,74,10
"SAMI KHEDIRA","GERMANY","JUVENTUS","MILIEUX DEFENSIF",84,189,93,"DROIT",29,"4",79,80,73,86,80,72,83,66,79,91,55,59,76,82,9
"BENEDIKT HOWEDES","GERMANY","FC SCHALKE 04","DEFENSEUR CENTRE",84,187,82,"DROIT",29,"3",65,84,51,85,57,58,69,65,69,81,61,65,83,46,9
"RALF FAHRMANN","GERMANY","FC SCHALKE 04","GARDIEN",84,196,95,"DROIT",28,"2",19,11,14,23,42,14,25,42,32,79,36,39,14,16,78
"SERGIO ASENJO","SPAIN","VILLARREAL CF","GARDIEN",84,189,87,"DROIT",27,"3",14,13,13,22,46,24,39,56,43,73,58,62,13,23,82
"EVER BANEGA","ARGENTINA","INTER","MILIEUX OFFENSIF",84,174,71,"DROIT",28,"4",86,62,69,70,88,80,86,72,69,67,86,86,45,75,9
"MEDHI BENATIA","MOROCCO","JUVENTUS","DEFENSEUR CENTRE",84,190,96,"DROIT",29,"3",64,85,43,80,47,45,65,69,69,89,55,59,85,41,7
"STEVE MANDANDA","FRANCE","CRYSTAL PALACE","GARDIEN",84,185,82,"DROIT",32,"3",16,12,11,23,55,14,32,48,31,61,36,52,13,17,81
"DANI ALVES","BRAZIL","JUVENTUS","DEFENSEUR DROIT",84,172,68,"DROIT",33,"3",84,78,67,82,78,84,79,81,75,55,87,85,72,82,7
"ARDA TURAN","TURKEY","FC BARCELONA","AILIER",84,177,76,"DROIT",30,"4",87,60,75,61,86,82,83,73,74,70,77,86,70,75,10
"JAVIER MASCHERANO","ARGENTINA","FC BARCELONA","DEFENSEUR CENTRE",84,174,73,"DROIT",32,"3",69,83,51,90,68,63,77,66,86,74,78,71,68,65,6
"ADURIZ","SPAIN","ATHLETIC BILBAO","ATTAQUANT",84,182,78,"DROIT",36,"3",79,46,82,23,73,54,61,70,66,82,57,53,94,81,11
"YAYA TOURE","IVORY COAST","MANCHESTER CITY","MILIEUX DEFENSIF",84,189,90,"DROIT",33,"4",80,72,83,60,85,67,84,73,80,91,55,60,74,85,10
"ERIC BAILLY","IVORY COAST","MANCHESTER UTD","DEFENSEUR CENTRE",83,187,77,"DROIT",22,"3",61,84,41,85,41,41,64,81,81,84,65,76,79,51,11
"JOSE MARIA GIMENEZ","URUGUAY","ATLETICO MADRID","DEFENSEUR CENTRE",83,185,80,"DROIT",22,"3",51,86,33,85,27,47,63,70,70,83,51,57,79,60,10
"N'GOLO KANTE","FRANCE","CHELSEA","MILIEUX CENTRAL",83,168,68,"DROIT",26,"3",77,83,62,91,76,67,81,82,94,76,90,80,54,69,10
"GERONIMO RULLI","ARGENTINA","REAL SOCIEDAD","GARDIEN",83,189,80,"DROIT",24,"3",15,15,17,21,58,12,27,51,42,73,50,58,12,20,81
"JOAO MARIO","PORTUGAL","INTER","MILIEUX CENTRAL",83,179,73,"DROIT",24,"4",84,67,72,78,82,77,80,76,88,69,70,81,55,75,9
"ANDRE GOMES","PORTUGAL","FC BARCELONA","MILIEUX CENTRAL",83,188,84,"DROIT",23,"4",83,68,66,76,83,61,84,69,77,85,64,68,69,76,9
"MARQUINHOS","BRAZIL","PSG","DEFENSEUR CENTRE",83,183,75,"DROIT",22,"3",70,85,36,84,51,72,75,73,75,74,68,68,80,44,9
"CARLOS BACCA","COLOMBIA","MILAN","ATTAQUANT",83,181,77,"DROIT",30,"2",80,14,84,34,66,60,61,83,74,76,75,78,76,74,9
"WILLIAM CARVALHO","PORTUGAL","SPORTING CP","MILIEUX DEFENSIF",83,187,83,"DROIT",24,"4",78,77,59,84,77,58,84,52,84,88,54,45,72,63,9
"KARIM BELLARABI","GERMANY","BAYER 04","MILIEUX DROIT",83,183,80,"DROIT",26,"3",85,30,70,38,79,78,71,90,76,68,78,87,48,81,10
"RAHEEM STERLING","ENGLAND","MANCHESTER CITY","AILIER",83,170,69,"DROIT",22,"2",85,53,72,26,76,72,74,93,75,64,91,90,38,69,12
"JULIAN DRAXLER","GERMANY","PSG","AILIER",83,187,72,"DROIT",23,"5",86,28,72,36,80,78,77,77,69,67,75,82,65,82,10
"ROBERTO FIRMINO","BRAZIL","LIVERPOOL","ATTAQUANT",83,181,76,"DROIT",25,"4",85,45,79,37,83,72,79,79,86,76,81,82,73,79,8
"MARCOS ROJO","ARGENTINA","MANCHESTER UTD","DEFENSEUR CENTRE",83,187,80,"GAUCHE",27,"2",70,81,58,80,57,75,72,74,81,83,63,73,85,71,10
"KALIDOU KOULIBALY","SENEGAL","NAPOLI","DEFENSEUR CENTRE",83,195,89,"DROIT",25,"2",55,85,25,81,34,30,52,73,75,93,48,53,78,35,8
"DANILO PEREIRA","PORTUGAL","FC PORTO","MILIEUX DEFENSIF",83,188,83,"DROIT",25,"3",77,81,58,85,69,50,80,68,89,89,60,58,77,70,11
"TIMO HORN","GERMANY","1. FC KOLN","GARDIEN",83,192,90,"GAUCHE",23,"4",21,12,16,22,55,19,33,48,31,67,31,50,14,19,82
"CASEMIRO","BRAZIL","REAL MADRID","MILIEUX DEFENSIF",83,184,80,"DROIT",25,"3",73,83,63,84,72,52,81,60,85,82,57,66,74,80,13
"VITOLO","SPAIN","SEVILLA FC","MILIEUX GAUCHE",83,184,79,"DROIT",27,"4",85,23,77,25,78,80,81,82,82,81,63,75,65,75,13
"ANTHONY LOPES","PORTUGAL","OLYM. LYONNAIS","GARDIEN",83,184,81,"GAUCHE",26,"2",18,13,17,25,52,19,31,62,33,65,62,65,16,19,81
"MATTIA PERIN","ITALY","GENOA","GARDIEN",83,188,74,"DROIT",24,"3",21,15,14,19,44,11,32,56,30,52,30,70,12,20,80
"JOEL MATIP","CAMEROON","LIVERPOOL","DEFENSEUR CENTRE",83,195,90,"DROIT",25,"2",69,82,43,84,72,54,77,72,75,80,50,58,88,57,10
"JUAN CUADRADO","COLOMBIA","JUVENTUS","MILIEUX DROIT",83,179,71,"DROIT",28,"3",87,55,71,58,70,78,75,92,83,59,83,91,58,82,7
"IAGO ASPAS","SPAIN","CELTA VIGO","AILIER",83,176,67,"GAUCHE",29,"3",84,19,81,36,68,69,73,83,72,59,77,88,78,80,12
"MARC-ANDRE TER STEGEN","GERMANY","FC BARCELONA","GARDIEN",83,187,85,"DROIT",24,"4",17,11,16,22,57,15,34,44,35,79,43,37,11,16,82
"MARIO GOTZE","GERMANY","BOR. DORTMUND","MILIEUX CENTRAL",82,176,75,"DROIT",24,"4",89,27,73,66,82,77,82,70,60,67,84,86,49,67,9
"ANDER HERRERA","SPAIN","MANCHESTER UTD","MILIEUX CENTRAL",83,182,73,"DROIT",27,"4",83,68,76,82,86,74,83,73,85,65,84,85,60,73,10
"JAVIER PASTORE","ARGENTINA","PSG","MILIEUX CENTRAL",83,187,78,"DROIT",27,"4",87,53,75,69,86,77,85,73,68,64,58,85,63,77,10
"CHRIS SMALLING","ENGLAND","MANCHESTER UTD","DEFENSEUR CENTRE",83,193,90,"DROIT",27,"3",60,82,50,82,49,52,64,76,79,87,48,60,85,38,14
"PEDRO","SPAIN","CHELSEA","AILIER",83,167,62,"DROIT",29,"5",84,31,77,49,74,78,76,83,80,56,82,84,55,72,10
"GIACOMO BONAVENTURA","ITALY","MILAN","MILIEUX CENTRAL",83,181,75,"DROIT",27,"3",84,66,74,73,81,82,82,81,88,69,77,79,58,84,12
